-99.0;-99.0;8.4;8.3;8.3;-99.0;-99.0;-99.0;8.1;4.5;4.5;4.5;8.0;7.9;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
8.4;8.3;8.3;8.2;8.2;8.2;8.1;8.1;-99.0;4.5;4.5;4.5;7.9;7.8;7.8;7.8;-99.0;-99.0;-99.0;-99.0;-99.0;7.5;4.5;4.5;4.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
8.3;8.2;8.2;-99.0;-99.0;8.1;8.0;8.0;8.0;4.5;4.5;4.5;7.8;7.7;7.7;7.7;7.6;7.6;7.5;7.5;7.5;7.4;4.5;4.5;4.5;4.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
8.2;8.1;8.1;8.1;8.0;8.0;7.9;7.9;7.9;7.8;7.8;7.7;7.7;7.7;7.6;7.6;7.5;7.5;7.5;7.4;7.4;7.3;7.3;7.3;7.2;7.2;7.1;4.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
8.1;8.1;8.0;-99.0;-99.0;7.9;7.9;7.8;7.8;7.7;7.7;7.7;7.6;7.6;7.5;7.5;7.5;7.4;7.4;7.3;7.3;7.3;7.2;7.2;7.1;7.1;7.1;4.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
8.0;8.0;7.9;-99.0;-99.0;-99.0;7.8;7.7;-99.0;-99.0;7.6;7.6;7.5;7.5;7.5;7.4;7.4;7.3;7.3;7.3;7.2;7.2;7.1;7.1;7.1;7.0;7.0;4.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
7.9;7.9;7.9;7.8;7.8;-99.0;7.7;-99.0;-99.0;-99.0;-99.0;7.5;7.5;7.4;7.4;7.3;7.3;7.3;7.2;7.2;7.1;7.1;7.1;7.0;7.0;6.9;6.9;4.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
-99.0;-99.0;7.8;7.7;7.7;7.6;7.6;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;7.2;7.2;7.2;7.1;7.1;7.0;7.0;7.0;6.9;6.9;6.8;6.8;6.8;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
-99.0;7.7;7.7;7.6;7.6;7.6;7.5;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;7.2;7.1;7.1;7.0;7.0;7.0;6.9;6.9;6.8;6.8;6.8;6.7;6.7;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
-99.0;7.6;7.6;7.6;7.5;7.5;7.4;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;7.0;7.0;7.0;6.9;6.9;6.8;6.8;6.8;6.7;6.7;6.6;6.6;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
-99.0;7.6;7.5;7.5;7.4;7.4;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;7.0;6.9;6.9;6.8;6.8;6.8;6.7;6.7;6.6;6.6;6.6;6.5;6.5;-99.0;-99.0;-99.0;-99.0;5.3;5.2;5.2;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
